Timestamp,You find it easy to introduce yourself to other people.,"A logical decision is always the best, even when it hurts someoneâ€™s feelings.",You try to respond to your e-mails as soon as possible and cannot stand a messy inbox.,You strongly dislike phone calls.,You find it easy to stay relaxed and focused even when there is some pressure.,You often get so lost in thoughts that you ignore or forget your surroundings.,Deadlines do not stress you out.,Being adaptable is more important to you than being organized.,Emotional movies can easily make you sad.,Your home and work environments are quite tidy.,You often feel as if you have to justify yourself to other people.,You like to leave matters undecided for as long as possible as there may be better options down the road.,You do not mind being at the center of attention.,You would rather call yourself pragmatic than visionary.,You rarely get mood swings.,Your travel plans are usually well thought out.,You find it difficult to start talking when you do not yet know how exactly you will present your idea.,Your mood can change very quickly.,You are more of a natural improviser than a careful planner.,"If you had to choose, you would rather have your work reflect your values than your reasoning skills.",Your work style is closer to random energy spikes than to a methodical and organized approach.,You are often envious of others.,An interesting book or a video game is often better than a social event.,Being able to develop a plan and stick to it is the most important part of every project.,Ideas are often more important than real things.,"When someone is in trouble, you usually start by offering emotional support rather than practical solutions.","If someone does not respond to your e-mail quickly, you start worrying if you said something wrong.","You do not let your emotions show, even when you are with close friends.",It is a challenge for you to look at criticism objectively.,Your dreams tend to be vivid and focus on a fictional world.,It does not take you much time to start getting involved in social activities at your new workplace.,You are better at implementing than innovating.,It is easy to irritate you.,You worry too much about what other people think.,You often spend time exploring unrealistic and impractical yet intriguing ideas,"You do not mind being criticized, even harshly, if the arguments make sense.","When solving problems, you look for tried and tested methods instead of experimenting with novel ideas.",You would rather improvise than spend time coming up with a detailed plan.,You often spend more time reflecting on things than actually doing them.,You believe that moral positions are often more important than what makes logical sense.,Keeping your options open is more important than having a to-do list.,You would rather work in a team than alone.,You rarely feel insecure.,You have no difficulties coming up with a personal timetable and sticking to it.,Being efficient is more important than being cooperative when it comes to teamwork.,"When making plans, you often get lost in possibilities and forget what is realistic.",You feel more energetic after spending time with a group of people.,"When making a decision affecting other people, you would rather be seen as illogical than as unsympathetic.",You see yourself as very emotionally stable.,You cannot stand chaos.,You are more traditional than unconventional.,"You like to isolate yourself from your surroundings when you work, e.g. by wearing headphones.",It is difficult for you to hide your feelings.,You are a relatively reserved and quiet person.,"If the room is full, you stay closer to the walls, avoiding the center.","Politically, you are more conservative than liberal.",You feel very anxious in stressful situations.,You focus on the possibilities rather than the realities.,You think that there is little point in being empathic in a professional environment.,You often take initiative in social situations.
2/19/2015 16:50:18,1,6,6,7,2,4,1,7,2,3,3,5,3,4,3,7,7,4,4,2,7,7,4,4,2,2,4,6,5,3,5,6,5,7,4,3,5,3,6,1,4,2,2,1,3,5,2,3,5,6,6,5,1,6,6,4,5,6,2,2
2/19/2015 17:33:34,3,5,4,3,5,6,5,4,3,3,5,5,5,4,6,6,3,3,4,3,6,2,5,3,5,3,3,4,2,2,2,3,3,3,6,6,3,4,5,3,4,3,5,5,5,3,4,3,6,5,4,3,6,5,4,3,3,5,4,5
2/19/2015 22:42:44,5,6,7,4,6,7,3,7,4,6,4,5,2,6,7,5,6,2,5,3,2,1,6,6,6,5,1,5,2,2,6,6,2,2,2,6,5,3,2,7,5,4,7,5,6,6,4,2,7,7,6,6,2,5,6,4,5,6,6,4
2/20/2015 15:17:02,3,6,3,3,6,6,5,7,4,2,2,5,2,4,7,5,2,2,4,6,2,2,7,2,6,3,2,5,3,4,3,5,1,2,5,5,5,3,3,6,6,3,6,2,2,3,1,2,6,1,5,4,2,7,6,5,3,4,2,3
2/20/2015 22:06:27,3,5,6,7,5,4,2,5,3,2,5,1,2,5,3,6,6,4,2,3,2,5,5,6,3,4,5,6,7,3,2,5,4,5,3,1,4,3,2,2,2,2,3,7,3,5,1,3,5,3,3,6,3,5,4,2,5,3,3,3
2/23/2015 14:37:56,2,6,6,6,2,6,2,6,6,1,6,2,2,6,6,6,2,2,2,2,6,6,6,2,2,2,2,2,6,2,2,6,4,6,2,2,6,6,2,2,2,6,2,2,2,2,6,2,6,2,6,6,2,6,6,2,6,2,2,2
2/23/2015 14:44:34,5,5,2,2,6,6,4,6,3,4,2,5,2,5,4,5,6,5,5,3,2,5,7,5,3,4,2,3,3,5,2,5,4,2,5,5,4,5,3,3,5,1,5,5,5,3,2,3,5,3,5,5,3,6,5,5,5,5,6,3
2/23/2015 14:51:40,5,2,3,3,5,5,5,5,5,5,5,6,5,3,3,4,3,5,5,4,6,5,5,4,6,6,5,3,4,5,3,3,3,5,5,4,4,5,5,6,5,5,3,3,3,3,5,6,3,4,3,5,4,3,5,2,3,5,2,5
2/23/2015 15:02:42,2,2,6,1,6,6,6,7,7,3,6,2,7,7,2,3,1,6,7,7,6,3,6,3,3,7,3,2,2,7,6,6,6,6,7,7,3,6,7,6,3,7,2,2,2,1,7,7,5,3,2,5,7,2,3,1,5,2,1,7
2/23/2015 18:46:51,7,6,5,1,6,4,4,6,2,7,1,2,7,4,1,4,6,4,4,7,7,1,1,5,4,5,1,7,6,6,4,4,5,1,2,4,2,5,4,6,4,6,7,6,5,5,7,4,7,5,6,2,5,5,4,6,1,5,1,6
2/23/2015 18:55:04,6,6,6,1,6,2,7,6,2,7,1,2,6,2,3,7,5,6,5,7,2,1,1,6,6,5,1,1,5,5,3,2,6,1,5,5,2,5,2,7,6,6,7,6,3,2,6,5,7,5,7,1,5,5,5,6,1,6,1,6
2/23/2015 19:11:47,7,7,3,4,7,6,5,5,1,6,2,5,4,6,6,6,6,6,4,5,5,1,4,6,6,4,4,4,4,4,4,5,4,1,2,6,6,5,5,4,4,7,7,4,4,4,4,4,6,6,2,2,6,3,1,6,1,4,4,4
2/23/2015 19:15:29,3,7,7,7,2,2,3,6,3,3,3,2,3,3,6,3,3,2,2,2,2,1,7,6,6,5,6,3,6,6,2,4,6,6,6,4,5,6,5,5,6,3,6,6,6,6,5,6,4,4,7,2,3,3,3,3,6,6,3,3
2/23/2015 20:00:32,5,3,7,5,5,3,5,1,7,7,5,3,3,7,5,3,7,5,2,5,1,2,3,5,1,5,3,3,3,5,3,7,3,6,3,5,5,6,3,3,1,3,3,6,5,2,7,1,7,7,7,2,2,5,3,7,6,3,2,3
2/23/2015 20:23:51,4,3,4,3,2,1,3,3,2,3,1,1,2,3,4,2,3,1,3,3,3,1,1,3,2,1,1,2,2,2,3,3,2,2,1,2,3,3,1,3,3,3,3,3,2,2,3,2,3,3,4,1,2,3,2,2,3,2,2,2
2/23/2015 21:12:20,5,5,4,5,5,6,5,6,5,4,5,6,5,6,5,4,5,4,6,6,6,5,7,7,6,7,5,7,6,6,3,5,5,5,7,3,7,7,7,6,7,2,4,3,6,6,6,5,5,5,7,2,2,5,2,7,5,5,4,4
2/23/2015 21:18:52,5,5,6,5,2,4,2,2,3,7,6,2,6,5,1,3,2,2,4,3,2,2,4,5,6,2,5,4,5,2,3,5,6,4,5,3,4,3,3,6,5,2,6,6,5,4,5,2,6,7,4,1,6,4,2,1,5,5,5,3
2/23/2015 21:37:10,7,1,1,1,1,1,1,7,6,7,7,2,1,1,7,1,7,1,7,7,1,1,7,7,1,2,1,2,2,1,1,7,1,6,1,6,7,7,1,7,7,7,7,1,1,6,7,7,1,7,5,1,1,7,7,1,7,1,7,7
2/24/2015 0:33:30,4,3,5,3,2,5,1,4,4,4,4,3,4,3,4,1,5,5,2,5,1,4,1,5,3,4,4,2,4,1,1,5,5,4,2,2,5,4,2,4,2,5,4,4,3,2,5,1,4,5,4,4,1,3,2,2,5,4,2,3
2/24/2015 0:41:26,6,6,7,6,2,3,2,4,3,7,4,2,3,6,6,6,3,4,4,5,6,3,4,6,2,5,4,4,5,4,2,6,6,4,2,6,6,4,2,4,4,6,4,6,4,3,4,2,5,6,5,6,4,5,4,5,5,4,4,2
2/24/2015 0:58:30,5,5,6,2,2,2,3,3,6,6,5,3,5,5,2,3,3,5,5,5,5,3,3,6,6,5,3,3,3,2,5,6,6,6,2,2,6,6,3,3,2,6,5,6,3,6,5,5,2,6,5,2,5,2,6,5,6,6,6,6
2/24/2015 1:26:30,6,3,6,3,2,2,2,2,7,7,6,2,3,6,6,6,6,2,3,2,2,2,2,6,6,6,2,6,6,2,2,3,2,2,2,2,3,2,3,6,2,6,2,6,2,2,2,2,5,6,2,2,2,6,2,3,6,6,2,3
2/24/2015 2:33:43,5,5,5,3,6,1,5,4,2,6,3,2,6,5,6,6,2,1,3,4,1,1,2,6,3,4,1,7,1,1,6,4,1,1,1,6,4,3,1,4,4,6,6,5,4,1,5,5,7,5,5,1,1,1,1,3,1,2,1,6
2/24/2015 2:56:50,5,7,6,5,6,4,3,5,2,5,5,1,6,2,3,5,6,2,2,7,2,2,2,6,5,2,2,3,1,4,6,6,2,4,1,3,3,5,2,6,5,1,5,6,2,2,3,2,6,6,5,2,6,2,5,2,2,2,1,4
2/24/2015 3:04:38,5,4,7,4,3,2,5,4,5,7,6,3,6,4,3,3,5,4,4,6,2,2,3,5,4,4,3,1,6,4,4,5,3,6,1,2,6,4,2,4,4,6,2,2,2,2,5,4,3,6,5,2,6,5,5,2,6,5,1,6
2/24/2015 3:14:34,5,6,6,2,6,1,5,4,4,6,5,4,5,2,6,5,2,2,6,4,2,7,5,5,2,2,4,2,2,1,6,4,4,5,2,4,4,4,4,2,7,4,4,4,4,4,4,2,5,3,4,2,2,4,6,2,4,4,2,5
2/24/2015 3:20:04,7,7,1,6,5,2,6,7,7,6,2,3,2,6,2,3,7,6,6,7,2,1,2,7,6,2,2,2,1,1,6,6,1,1,5,6,2,7,1,6,6,7,2,7,5,3,7,6,6,3,4,5,2,1,6,2,6,2,3,6
2/24/2015 3:39:40,6,6,7,4,2,7,4,4,6,6,6,6,7,4,4,7,6,2,2,4,4,4,7,6,3,1,6,3,4,4,7,5,5,6,2,2,1,5,7,4,7,2,6,7,7,1,7,6,3,4,5,2,6,5,1,4,6,5,6,6
2/24/2015 3:46:44,2,2,1,2,2,3,2,4,3,2,2,2,2,2,2,2,2,3,2,3,3,1,4,3,2,2,3,2,2,2,1,4,2,2,1,2,3,3,2,3,3,3,2,3,3,2,2,2,3,2,4,2,3,3,3,3,3,3,3,2
2/24/2015 4:01:59,7,2,4,1,2,5,3,5,3,6,6,4,6,2,3,3,5,6,5,2,5,3,3,5,3,5,2,3,5,3,5,5,3,5,5,3,3,5,5,5,3,5,3,3,3,3,3,3,3,3,5,5,5,5,3,3,4,4,3,5
2/24/2015 6:43:52,6,6,6,5,5,6,5,3,1,4,2,5,2,4,4,7,3,6,5,4,6,4,7,4,4,3,1,2,2,2,6,5,7,5,4,2,6,5,5,2,3,6,6,6,6,1,6,5,7,7,2,1,6,2,3,2,5,4,2,6
2/24/2015 7:18:34,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
2/24/2015 7:26:03,6,5,6,4,6,2,2,6,7,7,6,6,6,7,6,6,4,2,2,6,5,1,6,6,2,5,2,6,5,6,5,7,5,5,1,6,6,2,2,5,2,2,6,6,5,2,5,2,7,7,6,2,4,2,3,2,2,2,3,6
2/24/2015 7:31:49,6,5,5,3,3,2,2,3,3,5,3,2,2,5,3,6,5,3,5,5,3,4,3,3,5,4,3,5,4,2,6,3,3,3,2,5,5,5,2,3,3,3,3,5,3,3,5,2,6,5,3,2,3,3,3,2,3,5,5,5
2/24/2015 7:39:46,5,4,7,3,5,5,6,4,5,6,6,2,5,5,6,3,5,3,6,6,3,2,1,5,5,6,7,2,2,6,5,5,4,6,3,2,5,5,3,4,3,5,5,2,5,3,6,3,6,6,6,5,7,5,3,4,3,3,2,5
2/24/2015 9:32:07,6,3,7,5,7,6,7,4,3,7,5,4,3,3,3,4,6,6,2,7,2,1,4,5,5,5,5,6,2,3,4,3,4,3,2,2,4,3,3,2,3,3,2,3,3,2,1,6,6,7,2,7,1,2,5,5,2,2,1,6
2/24/2015 9:37:21,6,6,7,2,5,4,6,5,2,1,1,4,7,6,1,4,5,4,4,5,4,1,4,7,1,4,1,4,1,1,4,5,1,1,2,5,4,4,1,4,4,7,6,6,4,2,6,4,6,2,4,1,1,1,1,1,2,2,2,7
2/24/2015 10:01:46,5,6,5,3,3,5,4,4,4,7,7,6,6,6,6,6,6,5,6,6,3,3,6,6,6,3,5,3,5,4,6,6,6,6,6,6,6,6,3,3,4,6,6,6,6,5,6,6,6,6,5,3,6,5,3,3,6,5,3,6
2/24/2015 10:09:47,4,7,7,2,1,4,2,7,7,6,5,4,5,4,4,2,4,3,6,5,6,1,4,4,1,6,4,7,4,2,4,7,5,6,6,7,7,6,5,7,1,7,2,5,2,5,7,5,7,6,2,1,1,1,7,3,7,7,5,7
2/24/2015 10:25:22,7,6,7,1,5,2,2,6,1,7,6,7,7,2,7,3,1,6,7,6,7,6,1,7,5,1,1,1,2,7,7,7,7,7,6,7,6,7,5,5,7,7,2,2,1,7,7,7,2,7,7,1,7,1,1,7,7,7,7,7
2/24/2015 10:31:50,7,4,7,4,5,3,5,6,3,5,3,6,7,5,6,7,1,3,6,4,4,2,2,6,4,1,5,4,4,4,6,4,1,3,5,6,6,5,3,4,6,6,7,4,6,3,4,4,5,4,7,4,2,6,6,5,4,5,6,7
2/24/2015 10:33:51,7,1,7,7,3,7,3,1,7,7,7,7,7,1,7,7,7,7,1,1,1,1,1,7,7,1,1,1,5,7,7,1,7,5,3,7,1,7,1,1,7,1,7,7,1,7,7,1,3,7,1,1,1,1,1,1,7,7,7,7
2/24/2015 10:36:00,6,5,7,2,4,6,3,2,5,4,6,2,6,4,3,6,5,6,5,6,3,6,2,6,5,6,6,6,6,4,6,6,6,6,6,3,4,4,3,5,6,6,2,5,6,5,6,2,3,4,2,2,2,4,1,5,5,5,6,6
2/24/2015 10:37:00,5,7,7,1,3,6,1,7,7,1,2,1,7,2,1,1,7,4,1,5,6,4,7,7,7,7,6,3,4,2,2,6,6,7,7,6,6,5,6,6,5,6,3,4,5,6,6,6,6,7,7,1,3,7,7,7,7,7,5,4
2/24/2015 10:47:09,7,7,6,7,7,5,5,3,4,7,5,4,5,4,3,6,4,5,5,5,5,4,7,4,5,1,4,3,4,4,5,3,7,4,4,4,5,4,4,4,4,5,2,4,4,2,2,3,3,4,6,7,5,2,5,2,6,2,6,2
2/24/2015 11:00:14,5,3,7,3,4,2,3,6,6,5,5,4,5,3,6,5,6,3,5,5,3,1,3,6,5,3,4,4,3,3,5,4,3,1,4,5,4,4,2,4,4,6,2,7,1,5,5,5,5,7,3,6,5,2,4,2,4,5,3,7
2/24/2015 11:02:48,7,6,4,1,3,6,2,4,5,4,2,2,4,7,3,1,3,7,7,5,4,1,2,6,6,6,1,7,1,7,7,4,4,2,5,7,4,6,4,6,6,1,7,4,7,6,1,1,7,3,1,7,1,7,7,5,2,6,6,5
2/24/2015 11:04:53,7,7,7,1,7,2,6,6,3,5,2,5,6,4,6,7,2,2,4,1,5,1,4,2,2,2,2,5,1,2,6,4,2,2,2,6,4,2,1,4,2,4,1,7,4,2,6,4,6,6,4,1,1,4,1,5,1,4,4,6
2/24/2015 11:49:37,7,5,7,3,6,6,6,6,3,7,2,2,6,6,6,6,2,2,5,6,2,2,4,6,6,2,1,5,4,2,5,4,4,1,3,6,3,4,3,6,4,3,6,6,5,2,3,2,6,4,6,2,2,3,3,7,4,5,5,5
2/24/2015 11:52:21,5,5,7,2,5,2,3,6,3,5,2,1,6,6,4,5,6,5,5,6,5,2,1,6,6,2,2,5,2,3,6,4,3,2,2,5,1,5,5,4,2,7,6,4,3,1,6,4,5,4,5,1,5,2,5,2,6,4,2,6
2/24/2015 12:04:09,7,5,3,5,5,5,6,6,7,1,6,2,5,3,2,5,2,6,6,6,6,5,2,3,3,6,4,3,5,2,5,6,3,6,5,2,3,5,6,4,3,1,2,3,2,2,6,6,6,2,7,1,6,4,2,7,4,6,2,7
2/24/2015 12:06:59,7,5,3,1,6,1,7,4,2,7,1,1,3,5,7,7,2,3,2,2,1,1,1,6,2,3,1,6,2,2,4,4,1,1,1,5,3,3,1,1,3,1,7,7,5,1,2,6,7,3,6,4,2,3,1,7,2,2,4,7
2/24/2015 12:08:27,3,3,7,6,2,2,2,2,7,6,3,3,1,6,5,6,3,2,2,3,2,3,6,6,2,3,1,2,7,5,2,7,6,6,1,3,5,2,3,3,3,1,3,5,5,2,1,4,5,7,6,3,6,7,7,5,5,2,2,5
2/24/2015 12:09:26,3,2,6,1,3,1,2,3,5,7,4,2,2,2,3,5,6,2,1,4,2,1,5,5,3,3,2,2,6,3,2,5,3,3,2,2,3,6,3,2,2,2,3,6,5,2,2,2,6,2,6,1,3,7,7,7,3,3,5,2
2/24/2015 12:13:31,6,7,7,2,6,6,7,3,2,7,1,1,7,2,6,7,1,1,1,1,1,1,6,3,6,1,2,1,1,1,4,1,2,1,1,7,1,1,1,1,5,2,7,7,6,1,2,1,7,6,1,1,2,1,2,2,1,1,2,6
2/24/2015 12:15:23,4,7,7,1,5,6,1,6,7,6,6,6,6,4,7,6,5,7,7,5,6,5,1,6,6,7,7,7,7,7,6,3,7,7,5,7,6,6,6,6,4,5,6,6,7,2,6,3,5,4,7,7,7,4,7,1,3,7,7,7
2/24/2015 12:39:53,2,7,6,5,7,6,5,7,1,6,3,7,2,7,7,2,5,1,6,7,5,1,4,5,3,3,2,6,1,1,1,6,1,1,2,7,6,6,3,2,7,2,5,5,5,3,3,4,7,3,5,2,1,7,3,3,1,3,5,1
2/24/2015 12:55:47,7,7,7,4,5,7,7,4,4,7,7,7,7,7,7,4,7,4,7,7,4,4,4,7,7,4,1,7,4,4,7,4,4,4,7,7,7,4,4,4,4,7,4,4,4,4,7,7,7,7,7,7,7,4,4,4,4,7,7,7
2/24/2015 13:16:37,5,6,6,2,6,1,6,2,5,7,2,1,5,5,5,7,2,3,2,2,1,1,5,3,3,3,5,2,3,3,5,6,3,2,2,5,5,3,2,2,2,2,6,7,6,2,3,3,6,5,6,1,3,5,2,6,2,3,2,5
2/24/2015 13:34:09,5,6,7,5,6,6,6,3,3,6,5,2,3,5,6,7,5,2,5,3,3,3,6,6,3,5,3,3,3,1,5,6,2,5,3,5,5,2,2,3,3,6,5,6,5,3,5,2,5,7,6,5,3,6,3,3,5,4,3,5
2/24/2015 13:39:21,6,5,7,5,5,5,3,6,6,7,4,2,4,5,7,7,6,1,3,4,2,4,5,5,3,3,5,6,4,6,4,6,3,6,3,5,5,4,3,5,4,2,2,6,5,2,5,4,7,6,6,5,3,4,6,7,4,6,5,4
2/24/2015 14:29:45,7,1,3,3,3,1,2,6,6,6,2,2,5,3,6,7,6,2,5,4,1,1,2,5,4,5,1,1,2,2,6,1,1,1,4,6,2,2,1,2,2,4,7,7,1,1,6,4,7,1,3,1,5,2,2,7,2,4,1,7
2/24/2015 14:31:41,6,5,2,5,2,2,3,6,5,2,2,5,5,3,3,5,3,5,6,6,6,3,3,5,3,5,2,5,5,2,3,5,3,2,3,6,6,5,2,3,5,6,5,5,3,2,5,2,6,5,6,2,5,6,3,6,3,3,3,6
2/24/2015 14:36:22,4,6,6,5,4,2,5,5,3,5,5,6,5,5,2,6,3,5,3,5,5,5,5,5,3,2,2,5,6,5,2,5,5,5,2,3,3,3,2,4,3,5,3,3,3,2,3,2,6,5,5,2,5,2,2,6,5,3,5,3
2/24/2015 14:54:00,7,3,7,5,7,3,5,3,7,7,1,5,3,3,5,7,1,3,2,5,1,1,5,5,1,7,1,5,3,3,5,5,3,3,1,3,5,3,5,5,3,3,5,7,3,1,5,5,7,7,7,1,3,1,1,7,3,5,1,5
2/24/2015 14:54:56,7,2,6,6,2,1,5,2,5,7,1,1,5,1,6,7,2,2,1,6,3,1,2,2,1,2,1,1,2,6,6,1,1,1,1,6,6,2,1,4,1,5,7,7,1,1,5,5,7,6,3,1,3,2,3,3,2,3,2,6
2/24/2015 15:00:37,6,5,7,6,2,4,2,3,5,7,6,1,6,5,7,7,6,2,1,6,1,4,2,6,3,5,2,5,6,1,6,7,5,7,1,1,6,3,1,3,1,3,5,7,7,1,7,1,7,7,7,6,7,5,6,4,5,2,2,6
2/24/2015 15:46:46,7,7,7,1,7,1,7,7,1,1,7,5,7,7,7,5,7,7,5,7,7,7,1,7,7,7,1,1,7,7,7,7,7,1,1,7,7,7,1,1,7,7,7,7,7,1,7,1,1,1,7,7,1,7,1,1,7,7,7,7
2/24/2015 15:53:57,4,4,6,6,5,2,6,3,5,4,2,3,5,6,5,6,3,2,4,5,2,2,5,3,2,2,2,3,2,2,4,5,3,2,2,5,3,3,3,5,2,3,6,6,4,2,3,2,6,6,4,3,2,4,2,7,2,2,3,6
2/24/2015 16:13:27,3,5,2,2,6,2,6,5,3,3,6,5,3,6,5,6,2,2,3,3,2,3,2,6,3,2,5,6,6,3,4,5,3,5,6,3,2,2,3,2,5,6,3,3,3,2,6,2,6,5,6,1,5,3,3,1,6,6,2,6
2/24/2015 16:39:14,7,7,7,1,6,6,5,1,1,7,1,1,7,2,7,7,6,1,6,6,1,1,1,6,5,1,1,2,1,6,7,2,1,2,2,7,5,1,1,5,5,6,7,7,2,1,7,7,7,6,6,1,1,1,1,7,1,6,1,7
2/24/2015 16:41:19,3,3,3,5,5,2,3,5,5,5,5,3,3,5,5,5,6,3,2,4,3,3,5,6,4,2,3,3,3,4,5,3,5,3,3,3,3,2,3,2,3,3,3,5,3,3,3,3,5,5,5,3,6,5,5,6,5,3,3,3
2/24/2015 17:06:55,6,3,7,3,3,3,3,6,6,7,6,3,6,6,3,6,6,5,2,6,3,4,6,7,6,5,4,3,5,5,5,5,6,7,3,5,5,6,5,5,4,6,5,5,6,5,6,5,3,6,2,2,6,6,1,5,3,6,5,5
2/24/2015 18:23:26,4,7,6,3,3,5,5,5,6,4,3,3,3,1,7,2,3,7,5,6,3,4,7,6,7,3,1,2,5,6,3,6,5,5,6,3,3,7,3,1,2,3,2,1,1,6,5,1,6,5,3,1,5,7,1,1,6,1,6,2
2/24/2015 18:27:08,4,4,7,4,5,3,3,5,3,3,3,2,4,7,6,3,5,2,5,3,2,2,1,6,3,2,3,3,5,2,2,5,3,3,1,2,4,2,5,6,2,2,7,6,5,1,2,4,7,3,6,2,2,4,3,1,2,2,2,6
2/24/2015 18:44:46,1,5,7,1,1,1,1,5,7,3,3,4,5,4,2,5,4,6,3,6,5,2,6,5,5,3,1,2,3,4,5,6,4,1,4,3,4,3,5,3,2,6,5,5,5,2,6,5,5,6,5,2,6,5,5,7,5,5,4,5
2/24/2015 18:54:27,3,3,4,1,5,6,5,6,4,3,5,5,5,5,2,4,7,7,5,5,6,6,3,4,2,4,3,2,7,5,2,5,6,5,3,3,5,6,6,5,6,5,4,3,5,5,6,4,2,5,6,3,6,7,6,5,5,5,3,3
2/24/2015 19:55:32,3,5,6,1,3,5,7,3,2,1,1,1,1,2,7,5,7,3,2,3,1,1,7,5,3,1,1,1,5,1,1,6,1,3,3,5,3,3,3,3,3,1,7,3,5,2,1,2,5,5,5,1,5,3,5,5,1,5,3,2
2/24/2015 21:48:52,6,6,2,3,3,3,3,3,2,6,6,2,6,6,3,6,7,2,4,2,1,2,2,6,1,2,1,3,2,1,3,4,5,6,1,2,3,2,3,7,1,2,6,6,7,2,2,3,6,6,6,3,6,2,2,7,4,2,7,6
2/24/2015 21:49:10,6,5,6,2,6,1,7,7,7,6,1,1,5,3,5,7,2,1,1,6,7,2,1,3,2,3,1,7,2,1,6,6,1,2,2,6,2,5,2,1,6,6,7,6,2,1,7,4,7,7,5,1,1,3,1,7,2,3,2,6
2/24/2015 22:42:18,7,5,1,2,5,2,5,3,2,5,2,3,2,5,3,7,6,3,5,5,2,2,5,5,3,2,1,3,5,2,3,2,3,3,5,2,3,2,5,3,3,3,6,6,3,5,3,3,6,2,6,2,6,3,6,6,2,5,2,5
2/24/2015 23:13:54,7,7,5,1,6,3,5,5,4,4,3,5,7,5,6,7,5,5,5,6,3,4,2,6,5,6,2,5,5,2,7,3,5,5,1,5,5,3,2,6,5,6,5,6,2,2,6,1,6,5,6,1,2,2,2,6,2,2,1,6
2/25/2015 6:07:05,4,2,1,2,3,3,3,3,3,2,2,3,3,1,3,3,1,2,3,2,3,2,2,2,3,1,1,2,3,1,3,1,1,2,1,3,2,3,2,1,3,2,3,2,2,1,2,2,4,3,3,3,1,3,3,2,2,3,2,2
2/25/2015 8:39:39,7,6,5,1,5,4,2,6,6,7,6,5,5,4,5,7,4,2,3,3,2,4,2,5,5,4,2,2,4,4,5,3,3,2,2,3,2,3,2,5,3,6,5,4,5,2,5,1,6,5,6,2,3,2,1,7,2,6,2,7
2/25/2015 8:56:28,7,5,5,1,7,2,7,5,7,5,2,1,7,5,7,7,6,1,6,4,2,1,2,6,2,2,2,6,1,1,7,5,1,1,1,7,2,5,1,5,1,7,7,5,4,1,5,4,7,6,1,1,1,4,1,1,1,5,2,7
2/25/2015 10:42:06,6,7,4,3,4,2,5,7,7,5,5,4,6,2,5,2,1,3,3,4,4,3,3,5,7,6,5,4,6,4,7,3,6,3,3,6,5,4,4,7,7,7,7,4,7,5,6,4,4,6,4,1,7,4,4,4,7,5,5,5
2/25/2015 10:58:13,6,5,6,2,5,2,6,4,5,5,2,2,4,5,5,6,5,2,5,4,2,2,2,5,4,4,3,4,3,2,5,6,2,2,2,5,2,4,2,4,4,4,4,2,4,2,4,4,6,4,5,2,2,4,2,4,2,5,2,6
2/25/2015 12:29:51,3,5,7,4,5,6,3,6,6,6,6,2,4,5,5,7,6,5,5,7,6,2,2,6,7,5,7,2,5,6,2,6,6,6,6,6,6,6,6,6,2,7,6,5,3,6,7,2,6,7,7,2,7,7,7,6,7,7,6,6
2/25/2015 14:32:26,5,6,6,3,6,6,6,6,2,6,6,2,2,6,5,6,7,2,2,7,2,2,1,6,1,6,5,1,3,5,3,6,3,5,2,3,5,2,2,6,3,2,2,5,5,2,6,6,1,2,6,5,2,6,6,6,5,5,2,5
2/25/2015 15:04:14,6,5,2,5,6,1,6,5,6,3,2,5,3,2,3,6,5,5,5,5,5,2,3,3,2,2,2,3,3,3,3,3,5,1,5,6,3,5,5,5,3,5,6,6,5,2,3,3,6,6,6,5,5,5,5,7,5,6,3,3
2/25/2015 17:37:58,7,1,1,1,7,1,3,5,6,6,2,1,7,1,6,7,7,2,1,7,1,3,7,7,2,7,1,1,6,1,7,1,2,2,2,1,1,1,7,7,1,7,6,7,1,1,7,1,7,3,6,1,1,6,3,7,1,5,1,7
2/25/2015 21:25:03,4,3,4,3,3,2,2,4,5,4,1,3,4,2,2,4,1,2,3,3,3,1,3,3,2,3,1,2,1,3,4,3,1,1,1,2,3,3,3,3,4,4,4,3,1,2,2,3,4,3,3,1,3,4,3,5,2,3,3,4
2/26/2015 1:04:59,4,5,5,1,6,2,6,4,6,5,4,1,6,4,5,4,4,4,4,4,2,2,3,3,1,2,2,5,1,4,5,4,2,2,4,6,4,3,4,3,5,5,5,4,3,2,4,1,6,3,6,4,2,4,2,7,4,2,2,6
2/27/2015 15:22:10,2,4,3,3,4,3,2,5,2,2,4,5,6,5,3,4,1,2,6,4,4,5,2,3,3,2,2,6,3,2,2,4,4,6,5,5,4,5,6,4,3,6,5,2,4,3,6,5,5,3,5,2,2,2,2,4,5,6,2,4